Lat,Long_,Deaths,Case_Fatality_Ratio
-27.2423,-50.2189,,1.153523126
-23.5505,-46.6333,,2.806366526
-10.5741,-37.3857,,1.810760212
-10.1753,-48.2982,,1.166755771
4.5353,114.7277,,0.0843268283
42.7339,25.4858,,2.948379381
12.2383,-1.5616,,1.79496501
21.9162,95.956,,3.075607231
-3.3731,29.9189,38,0.0730053217
16.5388,-23.0418,,0.6518265382
11.55,104.9167,,2.204763038
3.848,11.5021,,1.584766882
53.9333,-116.5765,,0.8596978285
53.7267,-127.6476,,1.226342636
,,1,
,,0,0
53.7609,-98.8139,,1.518497528
46.5653,-66.4619,,0.7480180467
53.1355,-57.6604,,0.5341840709
64.8255,-124.8457,22,0.1911215359
44.682,-63.7443,,0.5011785876
70.2998,-83.1076,7,0.1982441235
51.2538,-85.3232,,0.9999543077
46.5107,-63.4168,82,0.1472727599
52.9399,-73.5491,,1.375009322
,,0,0
52.9399,-106.4509,,1.179923414
64.2823,-135,32,0.6414111044
6.6111,20.9394,113,0.7361083968
15.4542,18.7322,194,2.535616259
-23.6509,-70.3975,,1.073822507
-38.9489,-72.3311,,0.9951012547
-18.594,-69.4785,,1.125041409
-27.5661,-70.0503,,0.623741379
-45.9864,-73.7669,,0.6020658563
-37.4464,-72.1416,,0.9531252518
-29.959,-71.3389,,0.9348584742
-41.9198,-72.1416,,1.058633972
-40.231,-72.3311,,0.9578517448
-52.368,-70.9863,,1.153759483
-35.5183,-71.6885,,0.9694734104
-33.4376,-70.6505,,1.595105824
-36.7226,-71.7622,,0.8403141874
-34.5755,-71.0022,,1.296169964
-19.9232,-69.5132,,1.039217446
,,2,4.761904762
-33.0472,-71.6127,,1.331342332
31.8257,117.2264,7,0.3529411765
40.1824,116.4142,20,0.0693000693
30.0572,107.874,9,0.068755525
26.0789,117.9874,2,0.0130701869
35.7518,104.2861,2,0.1279590531
23.3417,113.4244,9,0.0125511853
23.8298,108.7881,2,0.0814000814
26.8154,106.8748,2,0.1114827202
19.1959,109.7453,6,0.05749329245
37.8957,114.9042,7,0.2378525314
47.862,127.7615,15,0.2366648462
33.882,113.614,23,0.2530531412
22.3,114.2,,0.4471408855
30.9756,112.2707,,6.552330056
27.6104,111.7088,4,0.1340931948
44.0935,113.9448,1,0.01191327138
32.9711,119.455,0,0
27.614,115.7221,1,0.05073566717
43.6661,126.1923,5,0.01235025318
41.2956,122.6085,2,0.064808814
22.1667,113.55,61,0.8285532186
37.2692,106.1655,0,0
35.7452,95.9956,0,0
35.1917,108.8701,5,0.05367686527
36.3427,118.1498,9,0.1667708985
31.202,121.4491,,0.9094660899
37.5777,112.2922,1,0
30.6171,102.7103,11,0.04158695833
39.3054,117.323,3,0.1029866117
31.6927,88.0924,0,0
,,0,0
41.1129,85.2401,3,0.1139817629
24.974,101.487,2,0.03596475454
29.1832,120.0934,1,0.01603849238
-1.4429,-71.5724,,3.382259094
7.1986,-75.3412,,1.957077434
7.0762,-70.7105,,3.313588646
10.6966,-74.8741,,2.449043137
8.6704,-74.03,,1.610896052
5.4545,-73.362,,2.222564973
5.2983,-75.2479,,2.147090337
4.711,-74.0721,,1.604553561
0.8699,-73.8419,,4.063707694
5.7589,-71.5724,,2.385607224
2.705,-76.826,,2.420727397
9.3373,-73.6536,,2.462521864
5.2528,-76.826,,2.274896596
8.0493,-75.574,,3.234137849
5.026,-74.03,,2.243005999
2.5854,-68.5247,37,1.324740422
1.0654,-73.2603,105,1.851525304
2.5359,-75.5277,,3.474592708
11.3548,-72.5205,,2.66214074
10.4113,-74.4057,,3.105083363
3.272,-73.0877,,2.417668219
1.2892,-77.3579,,3.140687228
7.9463,-72.8988,,4.147790033
0.436,-75.5277,,3.610488262
4.461,-75.6674,,2.85267361
5.3158,-75.9928,,2.280204508
12.5567,-81.7185,156,1.507974867
6.6437,-73.6536,,2.828662423
8.814,-74.7233,,2.60117761
4.0925,-75.1545,,3.21102723
,,2,
3.8009,-76.6413,,2.710926207
0.8554,-70.812,22,1.12244898
4.4234,-69.2878,64,1.844912078
-11.6455,43.3333,161,1.792274296
-0.228,15.8277,,1.521182266
-4.0383,21.7587,,1.536149958
9.7489,-83.7534,,0.7785972737
7.54,-5.5471,,0.9460027971
45.1,15.2,,1.395194383
21.521757,-77.781167,,0.7670401154
35.1264,33.4299,,0.199331021
49.8175,15.473,,0.9203779644
61.8926,-6.9118,28,0.08078942813
71.7069,-42.6043,21,0.1754239412
56.2639,9.5018,,0.2318083914
,,13,1.825842697
11.8251,42.5903,189,1.20458891
15.415,-61.371,74,0.4695431472
18.7357,-70.1627,,0.6653887075
-1.8312,-78.1834,,3.454231434
26.820553,30.802498,,4.809898283
13.7942,-88.8965,,2.096290606
1.6508,10.2679,183,1.064820202
15.1794,39.7823,103,1.010894101
58.5953,25.0136,,0.468935474
-26.5225,31.4659,,1.92073912
9.145,40.4897,,1.519103143
-17.7134,178.065,,1.281454545
61.92411,25.748151,,0.5515903505
4,-53,,0.4199062107
-17.6797,-149.4068,,0.83251023
16.265,-61.551,,0.4995299718
14.6415,-61.0242,,0.4790254341
-12.8275,45.166244,188,0.4476936632
-20.904305,165.618042,,0.39444263
-21.1151,55.5364,,0.1861673163
17.9,-62.8333,6,0.1110699741
46.8852,-56.3159,2,0.0597193192
18.0708,-63.0501,63,0.5172413793
-14.2938,-178.1165,7,0.204260286
46.2276,2.2137,,0.4144839795
-0.8037,11.6094,,0.6247447938
13.4432,-15.3101,,2.955665025
42.3154,43.3569,,0.9339771709
48.6616,9.3501,,0.3744630691
48.7904,11.4979,,0.4172347054
52.52,13.405,,0.3774775517
52.4125,12.5316,,0.5775914573
53.0793,8.8017,,0.3120521783
53.5511,9.9937,,0.4265362449
50.6521,9.1624,,0.4173689843
53.6127,12.4296,,0.3820203554
52.6367,9.8451,,0.3294732912
51.4332,7.6616,,0.3842567367
50.1183,7.309,,0.387604531
49.3964,7.023,,0.4208017073
51.1045,13.2017,,0.8574446032
51.9503,11.6923,,0.6497376891
54.2194,9.6961,,0.2878785789
51.011,10.8453,,0.9279015361
,,0,
7.9465,-1.0232,,0.8540613217
39.0742,21.8243,,0.6268195276
12.1165,-61.679,,1.210579858
15.7835,-90.2308,,1.658438721
9.9456,-9.6966,,1.219576027
11.8037,-15.1804,176,1.967139823
4.860416,-58.93018,,1.783811461
18.9712,-72.2852,,2.536573856
41.9029,12.4534,0,0
15.2,-86.2419,,2.370516778
47.1625,19.5033,,2.218622245
64.9631,-19.0208,,0.1099386456
11.225999,92.968178,129,1.200334977
15.9129,79.74,,0.6298654466
27.768456,96.384277,,0.4425109507
26.357149,92.830441,,1.076933387
25.679658,85.60484,,1.444910865
30.733839,76.768278,,1.18869083
21.264705,82.035366,,1.201094621
20.194742,73.080901,4,0.03450953326
28.646519,77.10898,,1.321260431
15.359682,74.057396,,1.548906541
22.694884,71.590923,,0.8643624828
29.20004,76.332824,,1.013980322
31.927213,77.233081,,1.347461476
33.75943,76.612638,,0.9980664418
23.654536,85.557631,,1.204549768
14.70518,76.166436,,0.9898471174
10.450898,76.405749,,1.047949768
34.1526,77.5771,,0.7853670146
13.6999972,72.1833326,52,0.4555409549
23.541513,78.289633,,1.021499261
19.449759,76.108221,,1.824038541
24.738975,93.882541,,1.535833738
25.536934,91.278882,,1.6779633
23.309381,92.83822,,0.3038114528
26.06702,94.470302,,2.173067304
20.505428,84.418059,,0.6887036883
11.882658,78.86498,,1.12515738
30.841465,75.40879,,2.455767789
26.583423,73.847973,,0.7337805089
27.571671,88.472712,,1.125927932
11.006091,78.400624,,1.05854035
18.1124,79.0193,,0.4885997357
23.746783,91.743565,,0.8700964511
,,0,
26.925425,80.560982,,1.110504424
30.156447,79.197608,,1.724920563
23.814082,87.979803,,1.016311872
-0.7893,113.9213,,2.390127367
32.427908,53.688046,,1.913578198
33.223191,43.679291,,1.029184217
53.1424,-7.6921,,0.492311289
31.046051,34.851612,,0.2531252124
42.35122196,13.39843823,,0.6026381951
40.63947052,15.80514834,,0.5146714452
38.90597598,16.59440194,,0.5209535482
40.83956555,14.25084984,,0.4796777204
44.49436681,11.3417208,,0.8994364153
45.6494354,13.76813649,,1.034361913
41.89277044,12.48366722,,0.5397058545
44.41149315,8.9326992,,0.8836215152
45.46679409,9.190347404,,1.100764757
43.61675973,13.5188753,,0.6093239947
41.55774754,14.65916051,,0.7074122759
46.49933453,11.35662422,,0.5517446033
46.06893511,11.12123097,,0.6785806355
45.0732745,7.680687483,,0.8104405297
41.12559576,16.86736689,,0.5909159919
39.21531192,9.110616306,,0.5746688536
38.11569725,13.3623567,,0.7004857572
43.76923077,11.25588885,,0.7246918049
43.10675841,12.38824698,,0.546746984
45.73750286,7.320149366,,1.12754898
45.43490485,12.33845213,,0.6178003172
18.1096,-77.2975,,2.267149243
35.035551,137.211621,,0.1886181586
39.748679,140.408228,,0.2681039555
40.781541,140.828896,,0.2128932228
35.510141,140.198917,,0.2324072408
33.624835,132.856842,,0.1733283295
35.846614,136.224654,151,0.08693549501
33.526032,130.666949,,0.1704260147
37.378867,140.223295,,0.1301062391
35.778671,137.055925,,0.1907918953
36.504479,138.985605,,0.2139972587
34.605309,132.788719,,0.1531549929
43.385711,142.552318,,0.3285971393
35.039913,134.828057,,0.25196264
36.303588,140.319591,,0.1814142639
36.769464,136.771027,,0.1647894403
39.593287,141.361777,,0.2122137554
34.217292,133.969047,,0.211371301
31.009484,130.430665,,0.1647018495
35.415312,139.338983,,0.1790616928
33.422519,133.367307,,0.301481097
32.608154,130.745231,,0.1972990885
35.253815,135.443341,,0.2171257749
34.508018,136.376013,,0.1900869271
38.446859,140.927086,,0.1577534219
32.193204,131.299374,,0.1958304891
36.132134,138.045528,,0.171936217
33.235712,129.608033,,0.1515358314
34.317451,135.871644,,0.2205444918
37.521819,138.918647,,0.07094899887
33.200697,131.43324,,0.1966163156
34.89246,133.826252,,0.1460136812
25.768923,126.668016,,0.1531362748
34.620965,135.507481,,0.280949915
,,8,0.03616963559
33.286977,130.115738,,0.1563295606
35.997101,139.347635,,0.1819102982
35.215827,136.138064,,0.1507594894
35.07076,132.554064,193,0.1379546965
34.916975,138.407784,,0.1339325995
36.689912,139.819213,,0.2173925084
33.919178,134.242091,,0.2142280009
35.711343,139.446921,,0.1701324848
35.359069,133.863619,161,0.14069614
36.637464,137.269346,,0.124405805
,,0,0
33.911879,135.505446,,0.1957144079
38.448396,140.102154,,0.154287517
34.20119,131.573293,,0.2154438381
35.612364,138.611489,,0.1638130147
31.24,36.51,,0.8083585719
48.0196,66.9237,,1.280516238
-0.0236,37.9062,,1.660657197
-3.3704,-168.734,13,0.3790087464
40.3399,127.5101,6,600
35.907757,127.766922,,0.1104134444
42.602636,20.902977,,1.17595211
29.31166,47.481766,,0.3877799522
41.20438,74.766098,,1.447956353
19.85627,102.495496,,0.3479697937
56.8796,24.6032,,0.6327561379
33.8547,35.8623,,0.8786975524
-29.61,28.2336,,2.078183386
6.428055,-9.429499,,3.65535248
26.3351,17.228331,,1.269242221
47.14,9.55,88,0.4132231405
55.1694,23.8813,,0.7358693469
49.8153,6.1296,,0.3796902443
,,2,22.22222222
-18.766947,46.869107,,2.09298893
-13.2543,34.3015,,3.043527545
1.4854,103.7618,,1.1805868
6.1184,100.3685,,0.8589477654
6.1254,102.2381,,0.5478882831
2.1896,102.2501,,0.8306487928
2.7258,101.9424,,0.6643221702
3.8126,103.3256,,0.564070517
4.5921,101.0901,,0.8878344051
6.4449,100.2048,197,1.038755602
5.4141,100.3288,,0.6712567907
5.9788,116.0753,,0.7867663877
1.5533,110.3592,,0.5510714076
3.0738,101.5183,,0.7084957374
5.3117,103.1324,,0.6764085568
,,0,
3.139,101.6869,,0.6105623646
5.2831,115.2308,158,0.6893843536
2.9264,101.6964,31,0.09632115337
3.2028,73.2207,,0.1674807343
17.570692,-3.996166,,2.267248482
35.9375,14.3754,,0.7020133537
7.1315,171.1845,17,0.109296644
21.0079,-10.9408,,1.571935357
-20.348404,57.552152,,0.3573206103
21.8853,-102.2916,,4.170920735
30.8406,-115.2838,,7.314309201
26.0444,-111.6661,,2.193482947
19.8301,-90.5349,,5.215275093
16.7569,-93.1292,,4.47942111
28.633,-106.0691,,5.971348318
19.4326,-99.1332,,2.435596798
27.0587,-101.7068,,4.921771355
19.1223,-104.0072,,3.292706179
24.5593,-104.6588,,4.607683644
21.019,-101.2574,,4.242313734
17.4392,-99.5451,,5.843287839
20.0911,-98.7624,,7.004562327
20.6595,-103.3494,,6.933562305
19.4969,-99.7233,,6.682987695
19.5665,-101.7068,,8.094929065
18.6813,-99.1013,,5.770889919
21.7514,-104.8455,,4.448213602
25.5922,-99.9962,,3.800403002
17.0732,-96.7266,,4.194232847
19.0414,-98.2063,,7.86315998
20.5888,-100.3899,,3.534649008
19.1817,-88.4791,,3.78771102
22.1565,-100.9855,,3.096631641
25.1721,-107.4795,,5.54978384
29.2972,-110.3309,,5.190741384
17.8409,-92.6189,,2.794194472
24.2669,-98.8363,,4.56701826
19.3139,-98.2404,,5.457943272
,,0,
19.1738,-96.1342,,7.472434155
20.7099,-89.0943,,4.91516579
22.7709,-102.5832,,4.872168925
7.4256,150.5508,58,0.2612259605
47.4116,28.3699,,1.99911545
43.7333,7.4167,65,0.4070641283
46.8625,103.8467,,0.2120263405
42.708678,19.37439,,0.979655734
31.7917,-7.0926,,1.281337529
-18.665695,35.529562,,0.9654933541
-22.9576,18.4904,,2.397016941
-0.5228,166.9315,1,0.02164033759
28.1667,84.25,,1.200684907
12.5211,-69.9683,,0.6399707442
12.1784,-68.2385,39,0.3328781154
12.1696,-68.99,,0.6501978863
52.862485,6.618435,,0.2152123599
52.550383,5.515162,,0.1746639895
53.087337,5.7925,,0.2135421301
52.061738,5.939114,,0.281490565
53.217922,6.741514,,0.1398643924
51.209227,5.93387,,0.3917041703
51.561174,5.184942,,0.2908516657
52.600906,4.918688,,0.2489025371
52.444558,6.441722,,135.7957084
18.0425,-63.0548,89,0.8092380433
,,0,
52.084251,5.163824,,0.2240344625
51.47936,3.861559,,0.223512143
51.937835,4.462114,,0.2948244101
-21.2367,-159.7777,1,0.01565190171
-19.0544,-169.8672,0,0
-40.9006,174.886,,0.1101037554
12.865416,-85.207229,,1.59453303
17.607789,8.081666,,3.314683838
9.082,8.6753,,1.184087071
41.6086,21.7453,,2.779761578
60.472,8.4689,,0.3232175939
21.512583,55.923255,,1.159452241
34.027401,73.947253,,1.788452864
28.328492,65.898403,,1.048951049
35.792146,74.982138,191,1.579948714
33.665087,73.121219,,0.7381315464
34.485332,72.09169,,2.83422769
30.811346,72.139132,,2.601921489
26.009446,68.776807,,1.385959373
7.515,134.5825,9,0.1507285212
8.538,-80.7821,,0.835897076
-6.314993,143.95555,,1.433684075
-23.4425,-58.4438,,2.485183946
-5.077253,-78.050172,,2.714196128
-9.407125,-77.671795,,4.643569056
-14.027713,-72.975378,,3.678711363
-15.843524,-72.475539,,3.675459956
-14.091648,-74.08344,,4.325640101
-6.430284,-78.745596,,4.080498409
-11.954609,-77.136042,,6.374394203
-13.191068,-72.153609,,3.621731767
-13.023888,-75.00277,,4.298242689
-9.421676,-76.040642,,4.884658603
-14.235097,-75.574821,,7.006615258
-11.541783,-74.876968,,4.915811381
-7.92139,-78.370238,,6.065410751
-6.353049,-79.824113,,7.251628256
-11.766533,-76.604498,,4.586788434
-4.124847,-74.424115,,6.906055961
-11.972699,-70.53172,,4.158043274
-16.860271,-70.839046,,2.674365836
-10.39655,-75.307635,,3.93610755
-5.133361,-80.335861,,7.304014661
-14.995827,-69.922726,,6.208948304
-7.039531,-76.729127,,4.608695652
-17.644161,-70.27756,,3.397377249
-3.857496,-80.545255,,5.166226756
-9.621718,-73.444929,,7.178580008
,,53,
12.879721,121.774017,,1.609737776
51.9194,19.1451,,1.861143659
39.3999,-8.2245,,0.4642906429
25.3548,51.1839,,0.1397539922
45.9432,24.9668,,2.035213468
44.6939006,40.1520421,,1.885891621
52.6932243,82.6931424,,2.800116421
50.7114101,86.8572186,,1.572876617
52.8032368,128.437295,,0.6029929231
63.5589686,43.1221646,,0.6585620415
47.1878186,47.608851,,2.342061466
54.8573563,57.1439682,,1.727387117
50.7080119,37.5837615,,1.413693639
52.8873315,33.415853,,2.241496138
52.7182426,109.492143,,2.015887875
43.3976147,45.6985005,,2.29434091
54.4223954,61.1865846,,2.072309513
66.0006475,169.4900869,45,0.6525522042
55.4259922,47.0849429,,4.357664166
43.0574916,47.1332224,,3.532913678
43.11542075,45.01713552,,1.273811992
56.6370122,104.719221,,2.424002034
56.9167446,41.4352137,,2.453054144
48.57527615,132.6630746,,2.520970708
43.4806048,43.5978976,,2.612852409
54.7293041,21.1489473,,1.050929251
46.2313018,45.3275745,,1.420626896
54.4382773,35.5272854,,1.186713384
57.1914882,160.0383819,,1.401219622
43.7368326,41.7267991,,1.94005599
62.6194031,33.4920267,,0.9382108823
54.5335781,87.342861,,1.338389053
51.6312684,136.121524,,0.6912696835
53.72258845,91.44293627,,2.352952582
61.0259025,69.0982628,,1.024863076
57.9665589,49.4074599,,0.6618437421
63.9881421,54.3326073,,1.690336925
58.424756,44.2533273,,1.424235349
45.7684014,39.0261044,,3.236965654
63.3233807,97.0979974,,2.628244316
55.7655302,64.5632681,,1.23532596
51.6568453,36.4852695,,1.69003572
60.1853296,32.3925325,,1.457688392
52.6935178,39.1122664,,2.236354662
62.48858785,153.9903764,,1.776775648
56.5767504,47.8817512,,2.107692009
54.4419829,44.4661144,,1.680267687
55.7504461,37.6174943,,1.438691488
55.5043158,38.0353929,,1.370098515
68.0000418,33.9999151,,2.334876183
68.27557185,57.1686375,103,1.234272019
55.4718033,44.0911594,,2.355806827
42.7933611,44.6324493,,2.761973274
58.2843833,32.5169757,,0.9175648121
54.9720169,79.4813924,,1.851875729
56.0935263,73.5099936,,1.968371322
52.9685433,36.0692477,,1.464905319
52.0269262,54.7276647,,1.672254681
53.1655415,44.7879181,,2.789483885
58.5951603,56.3159546,,2.01605909
45.0819456,134.726645,,0.9407148667
57.5358729,28.8586826,,1.556321364
47.6222451,40.7957942,,2.525880012
54.4226732,40.5705246,,2.334276408
59.9606739,30.1586551,,2.002062562
66.941626,129.642371,,0.9859226274
49.7219665,143.448533,,1.19295724
53.2128813,50.8914633,,1.66442833
51.6520555,46.8631952,,1.98670454
55.0343496,33.0192065,,2.174061854
44.8632577,43.4406913,,2.90883263
58.6414755,61.8021546,,1.933847655
52.9019574,41.3578918,,1.832761428
55.7648572,52.43104273,,1.038178511
58.6124279,82.0475315,,0.6038601667
53.9570701,37.3690909,,2.848405882
57.1134475,35.1744428,,1.542340617
58.8206488,70.3658837,,1.720826217
51.4017149,93.8582593,,0.683558322
57.1961165,52.6959832,,1.699166738
54.1463177,47.2324921,,2.121482214
56.0503336,40.6561633,,2.002966114
49.6048339,44.2903582,,2.611711896
60.0391461,43.1215213,,1.796570268
50.9800393,40.1506507,,1.826645967
67.1471631,74.3415488,,0.7024716348
57.7781976,39.0021095,,1.523392122
52.248521,115.956325,,1.245998006
-1.9403,29.8739,,1.103485601
17.357822,-62.782998,46,0.7010057909
13.9094,-60.9789,,1.374882345
12.9843,-61.2872,119,1.247641015
-13.759,-172.1046,29,0.1814541359
43.9424,12.4578,121,0.5220918191
0.1864,6.6131,77,1.226309922
23.885942,45.079162,,1.151695989
14.4974,-14.4524,,2.213723285
44.0165,21.0059,,0.7163902228
-4.6796,55.492,172,0.3415748188
8.460555,-11.779889,126,1.62371134
1.2833,103.8333,,0.07763337909
48.669,19.699,,0.7837117386
46.1512,14.9955,,0.5357828298
-9.6457,160.1562,153,0.6225839268
5.152149,46.199616,,4.983522519
-30.5595,22.9375,,2.532869043
6.877,31.307,138,0.7513066202
37.5443,-4.7278,,0.9263011278
41.5976,-0.9057,,1.165629235
43.3614,-5.8593,,1.280906697
39.710358,2.995148,,0.5158947919
39.484,-0.7533,,0.6483246968
28.2916,-16.6291,,0.4719363321
43.1828,-3.9878,,0.6020198784
39.2796,-3.0977,,1.322852855
41.8357,-4.3976,,1.106330743
41.5912,1.5209,,0.7813919408
35.8894,-5.3213,193,0.7854468501
39.4937,-6.0679,,0.8682284183
42.5751,-8.1339,,0.5366958947
42.2871,-2.5396,,0.8680195259
40.4168,-3.7038,,1.024181832
35.2923,-2.9381,170,0.6739078728
37.9922,-1.1307,,0.5403434115
42.6954,-1.6761,,0.67697282
42.9896,-2.6189,,0.9611625261
,,0,
7.873054,80.771797,,2.502891042
12.8628,30.2176,,7.841597839
35.6491,139.7737,0,0
3.9193,-56.0278,,1.704462326
56.2784,15.018,,0.6326338866
61.0917,14.6664,,0.7426121574
61.3012,16.1534,,1.037975353
57.4684,18.4867,86,0.7032463816
56.8967,12.8034,,0.5021527225
63.1712,14.9592,,0.6073220803
57.3708,14.3439,,0.8461362323
57.235,16.1849,,0.6446637878
56.7183,14.4115,,0.7978673475
66.8309,20.3992,,1.00457856
59.535,15.0066,,0.5479159798
58.3454,15.5198,,0.9209341893
55.9903,13.5958,,0.7685449559
59.0336,16.7519,,0.9918007382
59.6025,18.1384,,0.9524690366
60.0092,17.2715,,0.7899383538
59.7294,13.2354,,0.6358285207
65.3337,16.5162,,0.6880660028
63.4276,17.7292,,1.250860289
59.6714,16.2159,,0.6944789544
58.2528,13.0596,,0.7792626484
46.8182,8.2275,,0.3225354789
34.802075,38.996815,,5.508245825
23.7,121,,0.1714087558
38.861,71.2761,125,0.702799955
-6.369028,34.888822,,1.995230337
15.870032,100.992541,,0.7123776732
-8.874217,125.727539,138,0.5898192076
8.6195,0.8248,,0.7370882473
-21.179,-175.1982,12,0.07311723129
10.6918,-61.2225,,2.302460288
33.886917,9.537499,,2.551747274
38.9637,35.2433,,0.5955152
-7.1095,177.6493,0,0
32.53952745,-86.64408227,,1.19760479
30.72774991,-87.72207058,,1.054530521
31.868263,-85.3871286,103,1.446629213
32.99642064,-87.1251146,108,1.383196721
33.98210918,-86.56790593,,1.448306595
32.10030533,-85.71265535,54,1.845522898
31.75300095,-86.68057478,130,2.070393375
33.77483727,-85.82630386,,1.674311352
32.91360079,-85.39072749,170,1.625549818
34.17805983,-85.60638968,89,1.361480802
32.85044126,-86.7173256,,1.701189257
32.02227341,-88.2656443,39,1.758340848
31.68099859,-87.83548597,107,1.288380494
33.26984193,-85.85836077,90,1.803245843
33.67679204,-85.52005899,71,1.66432255
31.39932826,-85.98901039,,1.473352331
34.69847452,-87.80168544,,1.346455151
31.43401703,-86.99320044,75,2.171395483
32.93690146,-86.24847739,62,1.688453159
31.2477854,-86.45050893,,2.255307902
31.72941803,-86.31593104,108,2.357049323
34.13020303,-86.86888037,,1.287764598
31.43037123,-85.61095742,,1.537978657
32.32688101,-87.1086671,,2.461214327
34.45946862,-85.80782906,,1.574839093
32.59785413,-86.14415284,,1.249048509
31.1256789,-87.15918694,178,1.485685669
34.04567266,-86.04051873,,2.054302972
33.72076938,-87.73886638,98,1.698440208
34.44235334,-87.84289505,150,1.28314799
31.09389027,-85.83572839,171,2.230046948
32.85504247,-87.95684022,53,2.388463272
32.76039258,-87.63284988,110,1.973448152
31.51148016,-85.24267944,79,1.402698864
31.15197924,-85.29939599,,1.677329005
34.78144169,-85.99750489,,1.422867105
33.55554728,-86.895063,,1.090153173
33.77995024,-88.09668032,71,1.540130152
34.90171875,-87.65624729,,1.408881043
34.52041498,-87.31069453,180,1.96206671
32.60154883,-85.35132246,,0.7912527444
34.81185586,-86.98310072,,1.006419148
32.1597283,-86.65158371,80,2.489884843
32.38759944,-85.69267724,90,1.8
34.76327133,-86.55069633,,0.9317294784
32.24767634,-87.78796182,115,1.937331536
34.13697363,-87.88704173,157,1.598778004
34.36975964,-86.30486727,,1.273028682
30.78472347,-88.20842409,,1.337145804
31.56729412,-87.36995001,87,1.34862812
32.2206831,-86.20969272,,1.418570376
34.45500589,-86.85475946,,1.217236784
,,0,
32.64048341,-87.29770589,49,1.894818252
33.28094866,-88.08818103,120,1.947103683
31.80396383,-85.9408295,141,1.566492612
33.29526734,-85.45708831,78,1.246404602
32.28725256,-85.18415324,100,0.7945336088
33.26879845,-86.66232561,,0.6382664897
33.71902176,-86.31029372,,1.380546558
32.59117397,-88.19916205,55,1.812191104
33.37823223,-86.16886178,,1.419518378
32.86698258,-85.79833053,,1.771848087
33.28726072,-87.52556818,,1.229591986
,,0,
33.80270512,-87.30027177,,2.045024918
31.4092794,-88.20689944,60,1.399906673
31.98773215,-87.30891118,48,1.350590884
34.15030532,-87.37325922,140,1.537447837
55.32222414,-161.9722021,5,0.3785011355
52.3233,-174.1596,3,0.158061117
61.14998174,-149.1426986,,0.4884942451
60.90980451,-159.8561831,47,0.3757595139
58.74513976,-156.701064,0,
58.62403337,-156.2140589,1,0.08169934641
61.16666,-149.9,13,0.5439330544
60.3886,-162.8905196,10,0.773993808
63.67264044,-150.0076108,2,0.1111111111
59.79603738,-158.2381942,13,0.5858494817
64.80726247,-146.5692662,166,0.5014196822
59.09893571,-135.4679843,1,0.1265822785
58.45031811,-134.200436,29,0.2464309993
60.24429722,-151.5388884,126,0.5631284916
55.57445008,-130.975561,27,0.5293079788
57.65529415,-153.7493579,12,0.2078281954
62.1542916,-163.3967883,15,0.3145313483
62.31305045,-149.5741743,,0.6841335548
64.90320724,-164.0353804,7,0.100488085
69.31479216,-153.4836093,17,0.321239607
67.04919196,-159.7503946,21,0.3684210526
57.13978948,-132.9540995,7,0.7600434311
55.76261984,-133.0511621,10,0.5530973451
